company,position,description,location,formatted_work_type,url,formatted_experience_level,requirement
Veritas Steel LLC,Weekend Production Shift Manager,"Position Summary  Exciting opportunity for a Production Shift Manager at our Eau Claire facility. This role ensures safe and efficient operations in designated areas. Seeking a dynamic, motivated leader with a focus on execution, problem-solving, and team motivation. We do have positions open on all shifts, 1st, 2nd, and weekend. 2nd and weekend shifts will have shift differentials. Principal Duties and ResponsibilitiesOversee teams, ensuring adherence to fabrication plans and improving work efficiency.Collaborate with Production Scheduler to meet production requirements, providing active feedback with sincere concern for safety, quality, timeliness, impact, and cost.Actively participating in coaching, training, and leading assigned teams throughout the fabrication process.Maintain housekeeping, 5S, and continuous improvement initiatives.Uphold safety guidelines, enforce procedures, and ensure a secure working environment.Work closely with operations team for effective resource management.Maintains required documentation on all projects for assigned areas. RequirementsStrong leadership skills with a positive 'can do' attitude.Manufacturing floor experience, adept at throughput and efficiency optimization.Excellent communication, coaching, and problem-solving abilities. Join us and play a crucial role in the success of our bridge fabrication shop and help build tomorrow’s infrastructure!",Eau Claire-Menomonie Area,Full-time,https://www.linkedin.com/jobs/view/3895492263/?trk=jobs_biz_prem_srch,Mid-Senior level,"



PI3eba01e3d196-29463-34223335"
KARM Stores,FT/PT Assistant Retail Manager | Clinton Highway Area,"NEW! CLINTON HWY POP-UP STORE!! OPENING IN APRIL 2024 Every Sunday Off!! * Benefits & PTO * Employee Discount * Performance Based Increases * Referral Bonuses * Bonus & Rewards * Career Growth Opportunities Why Work at KARM Stores?This management pay range starts at 15.00-17.00. 25% off employee discount All team members are eligible for a 90-day raiseCareer Growth Opportunities 
Job DetailsAssist the Retail Manager in the building of the team and managing the retail operations of the store, including the handling of the financials of the stores while maintaining customer service standards to all staff, donors, and customers. Partners with Retail Manager, to establish and maintain customer service standards in order to ensure a pleasant shopping experience for each customer. Must be 18 years of age, or older, to apply for a management position. 

Compensation details: 15-17 Hourly Wage","Tennessee, United States",Full-time,https://www.linkedin.com/jobs/view/3895493007/?trk=jobs_biz_prem_srch,Mid-Senior level,"



PI534b03c2800b-29463-34069213"
The Fullington Auto Bus Company,Lead Mechanic,"Description:Position Summary:Diagnose, adjust, repair, or overhaul buses, and all types of diesel and gas engines. Includes working primarily with automobile diesel engines.
Responsibilities and Duties:This list is meant to be representative, not exhaustive, and incumbents are expected to perform all duties as assigned or directed. Incumbents may not perform all the duties listed while in other cases related duties may also be assigned. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions, consistent with applicable law.Use hand tools such as screwdrivers, pliers, wrenches, pressure gauges, and precision instruments, as well as power tools such as pneumatic wrenches, lathes, welding equipment, and jacks and hoists.Inspect brake systems, steering mechanisms, wheel bearings, and other important parts to ensure that they are in proper operating condition.Adjust and reline brakes, align wheels, tighten bolts and screws, and reassemble equipment.Raise buses, and heavy parts or equipment using hydraulic jacks or hoists.Perform routine maintenance such as changing oil, checking batteries, and lubricating equipment and machinery.Test drive buses to diagnose malfunctions or to ensure that they are working properly.Examine and adjust protective guards, loose bolts, and specified safety devices.Attach test instruments to equipment, and read dials and gauges to diagnose malfunctions.Inspect, test, and listen to defective equipment to diagnose malfunctions, using test instruments such as handheld computers, motor analyzers, chassis charts, and pressure gauges.Inspect, repair, and maintain automotive and mechanical equipment and machinery such as pumps and compressors.Rewire ignition systems, lights and instrument panels.Diagnose and repair vehicle heating and cooling systems.Recondition and replace parts, pistons, bearings, gears and valves.Inspect and verify dimensions and clearances of parts to ensure conformance to factory specifications.Disassemble and overhaul internal combustion engines, pumps, generators, transmissions, clutches, and differential units.Specialize in repairing and maintaining parts of the engine, such as fuel injection systems.Repair and adjust seats, doors, and windows, and install and repair accessories.Rebuild gas or diesel engines.Align front ends and suspension systems.Operate valve-grinding machines to grind and reset valves.Tend and observe equipment and machinery to verify efficient and safe operation.Examine and test machinery, equipment, components, and parts for defects to ensure proper functioning.Adjust, connect, or disconnect wiring, piping, tubing, and other parts using hand or power tools.Install or replace machinery, equipment, and new or replacement parts and instruments, using hand or power tools.Clean or lubricate vehicles, machinery, equipment, instruments, tools, work areas and other objects, using hand tools, power tools, and cleaning equipment.Apply protective materials to equipment, components, and parts to prevent defects and corrosion.Transfer tools, parts, equipment, and supplies to and from work stations and other areas.Disassemble broken or defective equipment to facilitate repair and reassemble equipment when repairs are complete.Position vehicles, machinery, equipment, physical structures, and other objects for assembly or installation, using hand tolls, power tools, and moving equipment.Perform other duties as assigned.Requirements:Qualifications:Experience: 10+ years related experience.Ability to accept responsibility and account for his/her actions.Ability to perform work accurately and thoroughly.Detail Oriented-Ability to pay attention to the minute details for a project or task.Responsible-Ability to be held accountable or answerable for one's conduct.Safety Awareness-Ability to identify and correct conditions that affect employee safety.High level of communication skills, verbal and writtenMake critical decisions while following company procedures.Perform their jobs effectively and to be responsible for making decisions.Minimum Educational Requirements:High School Diploma or GEDTrade School or College preferredCDL Class B w/P endorsementState Inspection LicenseStatements included in this job description do not necessarily represent an exhaustive list of all responsibilities, skills, duties, requirements, efforts, or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed as circumstances change.


Compensation details: 24-28 Hourly Wage","Duncansville, PA",Full-time,https://www.linkedin.com/jobs/view/3895493008/?trk=jobs_biz_prem_srch,Mid-Senior level,"



PI74830b32974d-29463-34081077"
UMC,Experienced Project Engineer- Special Projects Group,"
UMC

Position Title:  Experienced Project Engineer- Special Projects Group
Date Posted:  03/04/2024
Location:  Lynnwood, WA

 Position DescriptionStarting Salary Range: $77,000.00 - $95,000.00 depending on experience Location: Greater Seattle AreaClassification: ExemptUS Applicants Only 
General Position Summary:Provide project management support for Project Managers through effective communication, negotiation, scheduling, tracking, document control, and forecasting of costs and profitability. Support and collaborate with company superintendents, foreman, engineers, detailers, and management to deliver quality and profitable projects.
Essential Job Functions:Assist in the bid process and the procurement of new work.Estimate and negotiate change orders.Track, forecast, report labor hours and material costs.Maintain working knowledge of general conditions, work scope and specifications of project contract/subcontract.Review contract drawings, detail drawings and specifications. Prepare fabrication shop work package including detail drawing review, material take off and buyout, and man-hour fabrication budget.


 Position RequirementsSecondary Job Functions
Maintain client relations.Develop and retain mechanical systems knowledge including engineering, estimating, construction practices, and financial management.Skills Required to Perform the Essential Duties of the Job: Ability to accurately estimate mechanical work.Ability to understand and communicate basic mechanical concepts.Advanced computer skills including MS Word, Excel, Project, Access, and AutoCAD.Education/ Experience Requirements Needed to Perform the Essential Duties of the Job:Construction Management, Mechanical, Civil, or Chemical Engineering degree desired.Must have 2-3 years' experience as a project engineer
 Equal Opportunity EmployerAffirmative Action: UMC is committed to a culture of inclusion and connectedness. The collective sum of the individual differences, life experiences, knowledge, innovation, self-expression, and talent that our employees invest in their work represents who we are as a company and what we believe in. In recruiting for our team, we welcome the unique contributions that you can bring in terms of their education, opinions, culture, ethnicity, race, sex, gender identity and expression, nation of origin, age, languages spoken, veteran’s status, color, religion, disability, sexual orientation and beliefs. EEO Policy:UMC's policy on equal employment opportunity prohibits discrimination based on race, color, sex, national origin, citizenship or immigration status, religion, presence of physical, sensory or mental disability, genetic information, age, sexual orientation, gender identity, marital status, honorably discharged veteran or military status, status as a victim of domestic violence, sexual assault or stalking, or any other status or characteristic protected by federal, state, or local law. This policy applies to recruiting, hiring, transfers, promotions, terminations, compensation, benefits, and all other terms and conditions of employment. Retaliation against any employee who files a complaint regarding possible violations of this policy is not tolerated. UMC is also committed to taking affirmative steps to promote the employment of minorities, women, persons with disabilities, and covered veterans. Affirmative action plans are developed annually to support its commitment to equal employment opportunity, consistent with company policy and the company's obligations as a contractor to the United States government.
PM21


","Washington, DC",Full-time,https://www.linkedin.com/jobs/view/3895493250/?trk=jobs_biz_prem_srch,Entry level,"



PI20de0e9d62e0-29463-33657069"
"Peckham Industries, Inc.",Laborer Construction (Req #: 770),"Peckham Industries


Location: North Kingstown, RI
Salary Interval: Seasonal
Date Posted: 02/16/2024

 About Us: Peckham Industries Inc. (PII) has been a family-run business since 1924 and we believe our “family by choice” philosophy delivers value as the trusted supplier of construction materials, products, and services in the communities we serve. Through our extensive network of hot mix asphalt and ready-mix concrete plants, quarries, and liquid asphalt terminals, PII delivers the highest quality materials and custom solutions to thousands of road construction and road maintenance customers. In addition, the company’s construction operations include paving and road reclamation services, as well as precast/pre-stressed concrete production and erection of multi-level parking structures, specialty buildings, and bridge components. Become part of our mission by realizing your purpose, serving our community interests, and delivering growth for our customers. Peckham Industries educates, innovates, and applies technology in a way that is safe, sustainable, inclusive, and profitable. 


 Job Summary:The Laborer will work with members of the construction team to ensure smooth operations of daily paving on every assigned project. Performs a wide variety of tasks associated with the laying down of asphalt. 
Essential Functions: 
1.  Safety always wins. Promote a workplace free from any type of harm by understanding and applying safe use and operation of the equipment and communicating with other employees.
2.  Make safety an everyday mindset. Demonstrate zero tolerance for safety violations by taking corrective action immediately and performing all functions in a safe manner in accordance with company policy and procedures.
3.  Focused. Performs various duties such as: shoveling, raking, luting.
4. Performs field maintenance and job site safety and cleanliness
5. Bar person on paver
6. Responsible for job layout, marking jobs without tape
7. Respect and Engage. Treat all members of the team equally by nurturing an environment that is diverse, inclusive, and professional. 
8. Come committed to serve by arriving at work on time and in proper PPE. 



 Requirements, Education and Experience:
1. Willing to train.
2. Ability to follow verbal and written instruction.
3. High School diploma or GED, preferred. 
4. Must be able to work variable hours including day shifts, night shifts, some weekend hours, and overtime.5. Must have authorization to work in the U.S.
Other Duties:
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.
Travel: Multiple Locations. This position is based in Rhode Island.Work Environment/Physical Demands:
Heavy work that includes moving objects up to 100lbs or more. This position works outdoors in most types of weather including high heat, and inclement weather. This position works near moving mechanical parts and loud equipment. This position requires the ability to stand for long periods of time as well as bending, kneeling, squatting, climbing, walking, sitting, reaching, driving, and repetitive motion. 
Values:
At Peckham, you will experience our values wherever you work: corporate offices, plants, quarries, or paving operations. We share a common set of values - safety, integrity, dedication, and efficiency which are embedded in how we show up every day. Ours is a culture where we protect family and friends, our word is our bond, we are committed to serve and results matter. Our values are the foundation of our growth and we believe will pave the way for future success.



 Peckham Industries, Inc. (PII) is an Equal Employment Opportunity (EEO) and Affirmative Action employer. It is our policy to provide EEO to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, pregnancy or pregnancy-related condition, or any other characteristic protected by federal, state or local law.Under the Americans with Disabilities Act or similar law, if you have a disability and you wish to discuss potential accommodations related to applying for employment at Peckham, please contact Recruitment@peckham.com.



","North Kingstown, RI",Full-time,https://www.linkedin.com/jobs/view/3895493251/?trk=jobs_biz_prem_srch,Entry level,"



PI501c5d48e158-29463-33769494"
Wayne Brothers Companies,Field Service Technician,"Position Title: Field Service Technician
 Date Posted: 04/09/2024
 Location: Walterboro, SC
 Pay Range: N/A
 Application InstructionsPlease review position description and requirements and begin application online by clicking Apply Now above.
 Position DescriptionEssential Job Functions:• Work in a safe manner, recognize and correct Service Center hazards and comply with WBI safety requirements• Serve as a safe and productive member of the Asset Group• Confer with Service Center Supervisor / review work orders • Inspect equipment to determine service / repair needs• Perform routine maintenance services and repairs for on-road vehicles, small tools (electric and gas) and light / heavy equipment ranging from portable generators to large track excavators• Test components / systems utilizing analyzers, gauges and computerized diagnostic devices• Disassemble units and inspect parts for wear / repair• Follow manufacturer’s documents and WBI checklists to insure equipment is thoroughly examined and maintained• Test-drive to verify equipment is functioning properly after maintenance / repair is complete to insure the piece does not return “problem not fixed.”• Equipment / Tool Tag - complete the white tab upon completion of the work• Daily Equipment Maintenance / Safety Inspection Checklist – include a blank checklist in all equipment with checklist tubes or cabs upon completion of the work• Document service records • Welding • Clean / wash equipment • Be available for emergency calls outside normal business hours• Perform all other tasks and duties as assignedPhysical Elements:• Lifting, carrying or moving up to 50 pounds• Standing for long periods of time• Frequent climbing, leaning• Manual dexterityMental Elements:• Problem-solving, trouble-shooting, and mechanical reasoning• Analyzing and interpreting equipment service manuals, schematics, etc.• Focus, concentration, attention to fine detail, pride in workmanship• Thinking logically and critically• Making judgments and decisions at task and process levels• Listening, speaking, reading and writing at a basic levelEquipment/Materials Used:• Must provide their own tools and toolbox to perform job functions• Hand and power tools - frequently• Diagnostic equipment - frequently• Equipment maintenance documents - frequently• Welder - periodically• Personal protective equipment (PPE) - at all timesWorking Conditions:• Indoors – frequently• Outdoors - periodically• Temperatures – seasonal• Loud noise - frequently • Forty to fifty-hour work week – frequently• Multi-activity worksites – infrequently• Traveling out of town - infrequentlyPM20
 Position RequirementsTraining/Educational Requirements:• High School Diploma / GED – required• Automotive maintenance training / experience – required• ASE Certification – desirable• Small tools (electric and gas) training / experience - required• Light / heavy equipment training / experience – required• Proficient with Hyd., diesel engine repairs, welding - required• Electrical repairs, and diagnostics - required• Basic computer skills (typing, email, Internet) – required• Valid driver’s license – required• OSHA - 10-Hour Certification – required when offered by WBI• OSHA - 30-Hour Certification - desirable• First Aid / CPR - desirable• All-terrain material handler certification – required when offered by WBI• Aerial lift certification – required when offered by WBI
 Equal Opportunity EmployerWayne Brothers, Inc. is an Equal Employment Opportunity / Affirmative Action Employer. Read our EEO/AAE policy.
","Walterboro, SC",Full-time,https://www.linkedin.com/jobs/view/3895493252/?trk=jobs_biz_prem_srch,Entry level,"



PIe35f43dc0519-29463-34223510"
H&H,Mid-Level Structural Engineer,"
DescriptionWe are offering an exciting opportunity for a Mid-level Structural Engineer in our Portland, OR, Office.H&H is a full-service infrastructure engineering firm with more than 135 years of experience steeped in solving complex engineering challenges. Consulting firms, contractors and infrastructure owners count on us when innovative design and intricate engineering solutions are required. Our specialty lies in the ability to manage the entire life cycle of engineering services and support. We employ teams of superior engineers that bring a forward-thinking approach using the world’s latest project management, design, and support innovations. As a result, your projects are brought in on time, on budget, and are engineered to the highest standards in design, durability, safety, and aesthetic value.ResponsibilitiesPrepare structural and bridge construction documents for State and Municipally Owned bridges, walls, culverts, and other transportation structuresLead design production, including task assignment and oversight for junior engineering staffComplete engineering computations to support the development of detailed plans and construction documentsAdhere to quality control and quality assurance proceduresEffectively communicate and coordinate with other members of the design teamOccasionally perform bridge site visits for data collectionPerform Load Ratings on State and Municipally owned bridges and other structures 
RequirementsBachelor of Science in Civil EngineeringOR or WA PE (or the ability to obtain license within 6 months of hire)Five to ten years of structural engineering experienceExposure to MicroStation and/or AutoCADCompetent use of MIDAS Civil, AASHTOWare BrR, and/or Csi BridgeDemonstrated experience with AASHTO LRFD Bridge Design Specifications, Guide Specifications for LFRD Seismic Bridge Design, Oregon DOT BDM, WSDOT BDMExperience with mentorship of junior engineers preferredStrong written and oral communication skillsMust be able to work independently and as part of a team 
BenefitsWe offer a professional work environment, a competitive salary, a benefits package,
and 401(k).
EOE M/F/DISABILITY/VETS","Portland, OR",Full-time,https://www.linkedin.com/jobs/view/3895493253/?trk=jobs_biz_prem_srch,Entry level,"



PI1a7aab28243d-29462-32051551"
Lesley University,Workday Developer & Integrations Specialist,"Workday Developer & Integrations Specialist
The OpportunityLesley University seeks a Workday Developer & Integrations Specialist to join our team. Under the supervision of the Director of Colleague and Related Applications, the Workday Developer & Integrations Specialist is responsible for integration and maintenance between Workday and Colleague. The Specialist will own the full development life cycle including gathering requirements, designing, building, testing, deployment, and maintenance. In addition to new integration requests, the position includes providing ongoing technical support and maintenance of existing integrations. The Specialist will also utilize Colleague APIs to update data from Colleague to Workday; partner with IT and HRIS teams to develop standardized processes; research event-log warnings; manage new software installations; prepare documentation for end users including task instructions and knowledgebase articles; and maintain internal databases for tracking inventory and service incidents.Qualities and Capabilities: A successful candidate will have:Bachelor’s degree in computer systems, Information Technology, or related field (preferred)5+ years of Workday integration experience, ideally Certified Workday Integration Pro5+ years or more HRIS/IT experience, domestic and globalExperience writing code using a variety of programming languages, including Java, C++, PHP, or Python.Studio experience (or experience with Eclipse)EIB/Report WritingDocument TransformationWorkday Web Service experience is a plusBenefit Connector experience is a plusWhy LesleyLocated in the heart of Cambridge, Massachusetts, Lesley University is highly regarded for its graduate and undergraduate programs in the human arts of education, the arts, and applied social sciences. Lesley fosters a highly creative environment in which innovative ideas thrive, theory is integrated with practice and its 6,400 students and 90,000 alumni are empowered to improve and enrich communities.We offer a competitive benefits package that includes health, dental, life, and long-term disability insurance. In addition, we offer significant paid time off, a generous retirement plan, and tuition programs that enable employees and their dependents to expand their knowledge and skills.Lesley is committed to the ongoing pursuit of strategic diversity initiatives that help to position diversity, equity, and inclusion as fundamental to institutional and academic excellence at Lesley. In doing so, Lesley strives for a campus culture and community that fosters a true sense of belonging for all, provides opportunity for everyone to participate equally and fully in the Lesley experience, and helps to develop each individual's capacity to confidently and competently engage within and across difference. Given an evolving national context and the rapid change in the demographic profile of our country, the University has made a significant commitment to addressing and enhancing its campus climate and diversity capabilities as an institution.Expressing InterestA letter of interest, CV/resume, and a statement addressing past and/or potential contributions to diversity, equity, and inclusion through teaching, professional activity, and/or service must be included for full consideration.At Lesley University we strive for a supportive and equitable environment where people -- regardless of race, physical ability, age, neurodiversity, sexual orientation, gender identity, and other protected personal identities -- can participate equally and fully as their true selves in all aspects of university life. We are committed to diversity, equity, and inclusion throughout the fabric of our institution.


","Cambridge, MA",Full-time,https://www.linkedin.com/jobs/view/3895493254/?trk=jobs_biz_prem_srch,Mid-Senior level,"



PIa07398d65906-29463-34223239"
A Hiring Company,HVAC/R Technician,"Are you seeking a company that provides the freedom and flexibility to make your own schedule? Do you want to grow your career with a family-oriented company? Are you dedicated to providing an excellent customer experience? Does working for a company that helps their team members build and live the life of their dreams excite you? 

If so, Capstone Mechanical is seeking a Commercial HVAC-R Technician to join our growing team!

In the Commercial HVAC-R Technician role, Capstone provides the space for our technicians to showcase the amazing work that they do! We provide the support to work independently, through a trusting and transparent environment. Encouraging individuals to make decisions at point of service.

We are seeking technicians who are passionate about HVAC and take pride in their work to become cohesive members of our team.

Job Type: Full-time
Schedule: Monday – Friday (with on call rotation)
Work Location: Portland, ME

WHO WE ARE:
Since 2011, Capstone Mechanical has been providing the commercial HVAC industry with a unique and rewarding customer experience. At Capstone we provide service, maintenance, and installation of commercial HVAC/R equipment for our Multi-Site Retail Customers such as Kohl's, Dick Sporting Goods, Best Buy, Starbucks, and so many more. Our office is based in Portsmouth, NH, and since 2011 our territory has grown to cover most of the Eastern Seaboard. 

WE BELIEVE:
We envision an organization that pays closer attention to the customer and employee connection—an organization that leverages the relationship between the two, nurtures its development and provides the tools and resources to ensure that the relationship grows through mutually beneficial support and assistance. We want to reinvent the word serve by rethinking the words service and consumer.

WHAT YOU WILL ACCOMPLISH:
Maintains HVAC/R equipment including RTUs up to 40 tons, split systems and light refrigeration equipment
Performs HVAC/R service repairs, quotes, installs, and maintenance for assigned customer locations
Participates in on call rotation
Documents and submits information from customer location in internal software
Schedules service, maintenance, and quoted work in internal software
Obtains parts pricing, and builds quotes
Maintains good working order of company vehicle
Complies with company and industry safety standards
 YOU MAY BE A GOOD FIT IF YOU ARE:
 Customer Focused - You have excellent interpersonal and customer service skills.
 Team Oriented - You can build a strong rapport with teammates and nurture those relationships.
 Dependable – You are reliable and can be flexible. 
 Versatile – You can work independently and as well as in a dedicated team environment. 
 Organized – You have an elevated level of both organizational and time management skills.
 Accountable – You take ownership of your actions. 
 Proactive – You can remain focused when experiencing many simultaneous customer and associate inquiries while preventing potential problems from arising. 
 
 BASIC REQUIREMENTS:
 3+ years Commercial HVAC experience preferred
 Refrigeration experience preferred
 Excellent problem-solving, analytical skills, and strong mechanical aptitude
 Extensive knowledge of HVAC systems and equipment
 Ability to use power tools and hand tools
 Ability to use thermometers, pressure gauges, and other testing devices to evaluate HVAC systems
 Ability to read operation and repair manuals for HVAC systems and follow instruction
 Excellent communication skills, as required to interact with customers and team members
 Valid driver's license with clean record
 EPA & OSHA10 Certification
 Ability to pass pre-employment substance screening & background check
 
 PHYSICAL REQUIREMENTS:
 Physically able to work on HVAC units including roof top units
 Will be required to work in settings with extreme cold or heat
 Prolonged periods of standing, kneeling, crawling, or climbing ladders
 Prolonged period of sitting while driving
 Must be able to lift and carry 50 pounds.
 
 WHY YOU'LL LOVE WORKING WITH US:
 We take care of each other. We provide support for everyone to work independently through kindness, empathy, trust, and honest communication to foster continuous professional and personal growth.
 We ensure a safe work environment for ourselves, our families, customers, team members, & the communities in which we operate. Safety is our responsibility and continues to be our top priority. We aim to support the communities in which we live and service. We take on challenges and have fun! We encourage individuals to make decisions at the point of service. We are passionate and seek to continually improve our processes. 
 OUR COMPETITIVE SALARY & COMPREHENSIVE BENEFITS PROGRAM:  Paid weekly, wage based on experience. PTO, Holidays, Parental Leave Industry Leading Benefit Package: Health, Dental, & Vision (prescription safety glasses) Additional Flat Rate Pay for On-Call Paid Portal to Portal 401(k) with 7.5% Employer Contribution Bi-Annual Bonus Program Award winning Wellness Program offering health premium discounts 100% Company paid short & long-term disability, with $25,000 life insurance policy Additional life insurance coverage for employee, spouse, & child(ren) Free Financial Advising Employee Assistance Program that provides experienced professional services for employees and dependents Continuous Learning Programs Support to obtain Licensing Tool purchasing program Company vehicle with fleet maintenance app Company iPhone (or reimbursement for personal phone) & iPad Online uniform store with yearly allowance Company safety toe boots provided  
 We are excited to get to know you and share our story with you! 
 
 WE ARE AN EQUAL OPPORTUNITY EMPLOYER 
 Capstone Mechanical is an equal employment opportunity employer. We comply with all applicable federal, state, and local laws in providing our employees and applicants with equal opportunity. Our decisions and criteria governing the employment relationship with all employees are non-discriminatory and are based on job requirements and an individual's skills and experience without regard to race, creed, color, gender (including pregnancy), religion, age, sexual orientation, marital status, national origin, veteran status, disability, gender identity or expression, or any other status protected by state or federal law. It is our intent that such factors shall not be a consideration for any of the following: employment, retention, promotion, recruitment or recruitment advertisement, rates of pay or other forms of compensation, administration of benefits, selection for job or management training, and demotion or separation. All matters related to employment are based upon the ability to perform the job, plus dependability and reliability once hired. 
 This statement reaffirms our dedication to the principles of equal employment opportunity and our expectation that all employees will lend their full support to furthering Capstone Mechanical's success through the implementation of those principles.
","Portland, ME",Full-time,https://www.linkedin.com/jobs/view/3895493255/?trk=jobs_biz_prem_srch,Entry level,"



PI40e26d877655-29463-34223778"
A Hiring Company,Director of Planning/Program Management,"SUMMARYUnder the supervision of the General Manager primary duties are to assist in short- and long-term transportation planning and reporting efforts related to organizational goals and the analysis of related impacts and costs. Also supervises Special Programs unit of the agency.
ESSENTIAL DUTIES AND RESPONSIBILITIESInclude the following. Other duties may be assigned.Transit Development Planning - Instrumental in the creation of short-term and long-term transit plans, incorporating Planning, Operations and Maintenance projects.Transit Facility Planning – Assists with infrastructure planning involving buildings, shelters, multimodal and transfer facilities. Grant administration – Assists with planning, writing, submitting and executing Federal and State grants; participates in data reporting.Procurement Specialist – Writes requests for proposals/quotes or invitations for bid and ensures policy compliance on large procurements such as professional services, technology, or capital purchases.Program Specialist – Develops and updates programs and plans as required by Federal and State regulation, including but not limited to the Transit Asset Management Plan, Public Transportation Agency Safety Plan, DBE Program, Title VI Program, and others as needed.Assists with field/on board interviews and surveys.Spearheads agency public involvement activities and ensures program compliance.Collects key performance indicator data from departments, reviews data for accuracy, and prepares data for General Manager use.Prepares technical studies – Project manager for comprehensive studies, planning studies, and route and service reviews in order to plan routes and future infrastructure and expansion. Serves as staff support to the technical and policy committees of the Metropolitan Planning Organization (MPO) and other local committees and boards. Provides project updates, presents on certain aspects of the transportation program, and provides other information, as requested.Writes technical memos and develops presentations on various topics as required.Some outside office hours may be required for special events or training.Other duties as assigned by the General Manager.
SUPERVISORY RESPONSIBILITIESSupervises staff in Safety, Training, and Mobility Management units.
","Midland, TX",Full-time,https://www.linkedin.com/jobs/view/3895493256/?trk=jobs_biz_prem_srch,Director,"QUALIFICATIONSTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Must demonstrate excellent computer skills including Word, Excel and Power Point software.Must be multi-task oriented and capable of working on several projects at once.EDUCATION and/or EXPERIENCELevel 6: Bachelor's degree in Planning, Civil Engineering, or a related field from an accredited four-year college or university; or two years related experience and/or training; or equivalent combination of education and experience.LANGUAGE SKILLSLevel 6: Ability to read, analyze and interpret the most complex documents. Ability to respond effectively to the most sensitive inquiries or complaints. Ability to write speeches and articles using original or innovative techniques or style. Ability to make effective and persuasive speeches and presentations on controversial or complex topics to top management, public groups and/or boards of directors. MATHEMATICAL SKILLSLevel 5: Ability to apply advanced mathematical concepts such as exponents, logarithms, quadratic equations, and permutations. Ability to apply mathematical operations to such tasks as frequency distribution, determination of test reliability and validity, analysis of variance, correlation techniques, sampling theory and factor analysis.REASONING ABILITYLevel 5: Ability to define problems, collect data, establish facts and draw valid conclusions. Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables.
CERTIFICATES, LICENSES, REGISTRATIONSNone
PHYSICAL DEMANDSThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.While performing the duties of this job, the employee is regularly required to sit; use hands to finger, handle or feel objects, tools or controls; reach with hands and arms; and talk or hear. The employee is occasionally required to stand, walk, stoop, kneel, crouch or crawl. The employee must frequently lift and/or move up to 10 pounds and occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception and the ability to focus.
WORK ENVIRONMENTThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee will generally be within a normal office environment. They occasionally may be exposed to outside weather conditions including wet and/or humid conditions or extreme heat during special events.The noise level in the work environment is normally moderate.





PIc39d9c22227a-29463-34224108"
